user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$
1245375,13,15,5,245,9,6,US,10,114.426,Female,18-30,1
1245567,18,7,5,213.5,9,4,US,20,106.796,Male,31-45,1
1245626,11,8,6,183.5,8,1,AU,12,108.679,Male,18-30,1
1245828,20,4,6,224.5,10,4,US,10,110.906,Male,31-45,1
1247038,14,8,6,243.5,8,4,US,5,100.378,Female,46-60,1
1248500,15,11,6,254.5,8,2,US,3,106.458,Female,46-60,1
1249382,6,4,6,278,8,3,US,18,79.009,Male,18-30,1
1250390,11,6,5,262,7,6,US,8,85.873,Female,61+,1
1250870,13,8,5,229.5,9,9,CA,13,104.597, ,31-45,1
1254277,24,10,7,217,9,6,US,19,128.492,Female,18-30,1
1254325,6,10,6,299.5,7,9,US,10,86.593, ,61+,1
1255970,19,4,5,228,7,6,US,13,93.171,Female,46-60,1
1258981,11,10,5,218,8,3,US,22,109.322,Female,46-60,1
1259053,16,12,6,167.5,8,6,US,10,107.732,Male,31-45,1
1259208,15,11,6,269.5,9,3,US,16,106.458,Male,31-45,1
1259420,21,14,7,177.5,9,6,US,12,130.697,Male,31-45,1
1260131,18,8,7,218.5,8,4,US,10,114.59,Male,18-30,1
1261095,9,3,4,166.5,9,99,NZ,21,90.515,Female,31-45,1
1262495,17,6,5,217.5,10,4,CA,7,113.912,Female,46-60,1
1267432,11,11,6,258.5,9,4,US,15,98.428,Female,46-60,1
1268508,22,9,4,162,9,4,US,9,116.639,Male,18-30,1
1268533,16,11,6,209.5,6,8,US,21,97.843,Male,61+,1
1270387,26,12,7,229,10,99,CA,3,136.772,Male,18-30,1
1270416,20,10,8,207,9,6,US,22,130.196,Male,31-45,1
1270754,17,11,6,188,9,5,US,19,120.977,Male,46-60,1
1275595,22,12,7,213.5,8,6,US,3,123.821,Female,18-30,1
1278168,11,3,4,203.5,7,6,US,19,86.883,Female,46-60,1
1278440,7,9,5,236.5,6,3,US,4,88.188,Female,46-60,1
