user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$,cognitive_composite_score
532770,12.0,8.0,4.0,260.0,9.0,4.0,AU,13.0,87.194,Female,,1,58.6
532801,9.0,3.0,4.0,266.5,9.0,2.0,AU,19.0,83.94,Female,,1,58.3
53280730,3.0,5.0,5.0,255.5,7.0,2.0,US,20.0,77.223,Female,,1,55.1
53280967,13.0,8.0,6.0,199.5,7.0,3.0,US,13.0,102.838,Female,,1,46.7
53281661,15.0,15.0,3.0,213.0,10.0,4.0,US,15.0,110.906,Female,,1,51.2
53282020,14.0,5.0,4.0,385.0825369944426,9.0,9.0,US,8.0,84.084, ,,1,83.41650739888851
53283755,18.0,13.0,6.0,176.0,7.0,6.0,US,16.0,118.072,Female,,1,44.0
53286406,15.0,5.0,4.0,263.5,8.0,4.0,US,14.0,90.334,Female,,1,59.1
53286503,10.0,4.0,4.0,275.0,6.0,4.0,US,16.0,75.903,Female,,1,59.8
53286879,19.0,10.0,7.0,236.5,8.0,4.0,US,10.0,113.72,Male,,1,56.1
53292750,24.0,4.0,6.0,237.0,8.0,6.0,US,9.0,100.069,Female,,1,55.8
53293041,11.0,4.0,5.0,217.5,8.0,4.0,US,14.0,89.751,Female,,1,49.1
53295852,14.0,11.0,7.0,226.0,8.0,4.0,US,5.0,109.147,Female,,1,53.2
53298730,11.0,3.0,5.0,266.5,7.0,2.0,US,8.0,82.161,Female,,1,58.5
53302179,3.0,7.0,5.0,251.5,8.0,3.0,US,18.0,85.746,Female,,1,54.9
53307329,4.0,2.0,4.0,299.0,8.0,2.0,US,0.0,70.246,Female,,1,63.4
53308765,19.0,7.0,8.0,214.5,9.0,4.0,US,19.0,123.602,Male,,1,51.5
53310259,17.0,7.0,5.0,272.0,9.0,4.0,US,18.0,100.959,Female,,1,62.0
53314934,13.0,6.0,6.0,228.5,8.0,6.0,US,14.0,102.547,Male,,1,52.3
53317566,13.0,10.0,6.0,178.0,9.0,6.0,US,14.0,118.364,Male,,1,43.2
53321355,22.0,12.0,6.0,201.0,9.0,4.0,US,20.0,117.764,Male,,1,50.0
53324090,5.0,2.0,3.0,303.5,7.0,42.43419651522588,AU,1.0,57.203,Male,,1,64.1
53326444,13.0,7.0,5.0,227.0,7.0,6.0,US,10.0,91.647,Female,,1,51.8
53329989,12.0,6.0,6.0,205.5,8.0,2.0,AU,12.0,104.31,Male,,1,47.5
53332501,14.0,6.0,7.0,193.0,7.0,4.0,AU,15.0,101.916,Female,,1,45.4
53336382,19.0,1.0,6.0,194.5,10.0,3.0,US,16.0,105.208,Female,,1,46.1
53338676,14.0,4.0,5.0,214.0,7.0,8.0,US,15.0,92.56,Female,,1,48.8
533415,20.0,7.0,5.0,211.0,8.0,6.0,NZ,15.0,110.744,Female,,1,50.2
53352725,12.0,1.0,4.0,222.5,6.0,9.0,US,13.0,74.024,Male,,1,49.1
53353507,15.0,9.0,5.0,193.5,8.0,5.0,AU,10.0,105.519,Female,,1,46.1
53359170,19.0,17.0,6.0,198.0,9.0,3.0,US,14.0,130.026,Male,,1,49.8
53360779,13.0,7.0,5.0,266.5,9.0,7.0,US,13.0,100.526,Male,,1,60.1
53363511,17.0,5.0,6.0,193.0,8.0,3.0,US,12.0,112.317,Female,,1,45.8
53363928,9.0,6.0,5.0,283.5,9.0,8.0,US,11.0,88.188,Female,,1,62.5
53365764,6.0,11.0,5.0,216.0,9.0,2.0,AU,15.0,102.383,Male,,1,49.4
53374240,21.0,5.0,5.0,241.5,9.0,4.0,AU,20.0,106.796,Male,,1,56.3
53374489,16.0,9.0,5.0,224.5,6.0,4.0,US,11.0,94.708,Male,,1,52.1
53375226,12.0,12.0,6.0,260.0,9.0,2.0,US,11.0,109.623,Male,,1,59.8
53375637,21.0,10.0,6.0,189.5,8.0,4.0,US,9.0,121.178,Male,,1,46.9
533768,11.0,9.0,6.0,212.5,8.0,3.0,US,16.0,108.679,Male,,1,49.3
53378972,16.0,12.0,6.0,242.0,9.0,4.0,US,14.0,108.336,Female,,1,57.0
53382750,20.0,8.0,5.0,221.5,8.0,3.0,US,11.0,107.385,Male,,1,52.5
53389186,12.0,8.0,6.0,202.0,8.0,6.0,US,8.0,105.377,Female,,1,47.2
53390174,12.0,9.0,5.0,290.5,7.0,5.0,US,12.0,93.0,Female,,1,64.7
53390613,21.0,5.0,5.0,222.0,8.0,5.0,US,16.0,102.704,Female,,1,52.2
53390731,12.0,9.0,4.0,384.5,8.0,6.0,US,10.0,85.873,Male,,1,83.5
53392802,18.0,8.0,6.0,255.5,9.0,9.0,US,15.0,101.594, ,,1,59.3
53393664,25.0,16.0,6.0,211.5,9.0,3.0,US,6.0,125.621,Male,,1,53.5
53394007,23.0,17.0,6.0,223.5,9.0,7.0,US,15.0,132.178,Female,,1,55.7
53394571,20.0,11.0,5.0,219.0,7.0,7.0,US,11.0,102.244,Female,,1,52.4
53403138,15.0,3.0,4.0,234.0,7.0,9.0,US,14.0,91.919, ,,1,52.6
53414803,13.0,3.0,3.0,233.0,7.0,5.0,AU,11.0,83.94,Female,,1,51.8
53418415,13.0,5.0,6.0,159.5,9.0,2.0,CA,13.0,110.403,Female,,1,38.5
53422751,26.0,16.0,6.0,201.5,9.0,6.0,US,18.0,128.994,Male,,1,51.7
53423835,15.0,9.0,4.0,235.5,9.0,9.0,US,22.0,102.082, ,,1,54.5
53425369,12.0,5.0,5.0,240.5,9.0,4.0,CA,9.0,101.295,Female,,1,54.3
53430942,14.0,8.0,5.0,261.5,9.0,5.0,US,20.0,105.648,Female,,1,59.5
53432516,12.0,2.0,4.0,284.0,8.0,6.0,US,12.0,81.071,Male,,1,62.0
